,分頁,項目,Code,繁中文案,簡中文案,英文文案,韓文文案,zh-TW.json,en-US.json,zh-CN.json,ko-KR.json
,,,onboard_popup_t_four_title,訂閱,订阅,Subscribe,,"onboard_popup_t_four_title: ""訂閱"",","onboard_popup_t_four_title: ""Subscribe"",","onboard_popup_t_four_title: ""订阅"",","onboard_popup_t_four_title: """","
,,,onboard_popup_t_four_content,請存入足夠的資產至交易所，並存入保證金至 BCNT 錢包，即可完成訂閱,请存入足够的资产至交易所，并存入保证金至 BCNT 钱包，即可完成订阅,Deposit enough assets and stake in the exchange and your wallet respectively to complete the subscription.,,"onboard_popup_t_four_content: ""請存入足夠的資產至交易所，並存入保證金至 BCNT 錢包，即可完成訂閱"",","onboard_popup_t_four_content: ""Deposit enough assets and stake in the exchange and your wallet respectively to complete the subscription."",","onboard_popup_t_four_content: ""请存入足够的资产至交易所，并存入保证金至 BCNT 钱包，即可完成订阅"",","onboard_popup_t_four_content: """","
,,,onboard_popup_t_step,步驟,步骤,STEP,,"onboard_popup_t_step: ""步驟"",","onboard_popup_t_step: ""STEP"",","onboard_popup_t_step: ""步骤"",","onboard_popup_t_step: """","
,,,onboard_done_t_title,做得好,做得好,"Great Job,",잘 하셨습니다.,"onboard_done_t_title: ""做得好"",","onboard_done_t_title: ""Great Job,"",","onboard_done_t_title: ""做得好"",","onboard_done_t_title: ""잘 하셨습니다."","
,,,onboard_done_t_desc,恭喜您！您已成功上傳 API 金鑰！,恭喜您！您已成功上传 API 金钥！,Congratulation! You have successfully imported your API keys and made your first investment on Bincentive!,축하합니다! API 키를 성공적으로 업로드하고 Bincentive에 첫 투자를 했습니다!,"onboard_done_t_desc: ""恭喜您！您已成功上傳 API 金鑰！"",","onboard_done_t_desc: ""Congratulation! You have successfully imported your API keys and made your first investment on Bincentive!"",","onboard_done_t_desc: ""恭喜您！您已成功上传 API 金钥！"",","onboard_done_t_desc: ""축하합니다! API 키를 성공적으로 업로드하고 Bincentive에 첫 투자를 했습니다!"","
,,,onboard_done_t_refer,這是您的專屬推薦碼,这是您的专属推荐码,This is your referral code:,이것은 귀하의 추천 코드입니다:,"onboard_done_t_refer: ""這是您的專屬推薦碼"",","onboard_done_t_refer: ""This is your referral code:"",","onboard_done_t_refer: ""这是您的专属推荐码"",","onboard_done_t_refer: ""이것은 귀하의 추천 코드입니다:"","
,,,onboard_done_t_earn,推薦好友，獲得獎勵！,推荐好友，获得奖励！,Earn,친구를 추천하고 보상을 받으세요.,"onboard_done_t_earn: ""推薦好友，獲得獎勵！"",","onboard_done_t_earn: ""Earn"",","onboard_done_t_earn: ""推荐好友，获得奖励！"",","onboard_done_t_earn: ""친구를 추천하고 보상을 받으세요."","
,,,onboard_done_t_every_friend,推薦好友，獲得獎勵！,推荐好友，获得奖励！,for every friend you refer to Bincentive!,친구를 추천하고 보상을 받으세요!,"onboard_done_t_every_friend: ""推薦好友，獲得獎勵！"",","onboard_done_t_every_friend: ""for every friend you refer to Bincentive!"",","onboard_done_t_every_friend: ""推荐好友，获得奖励！"",","onboard_done_t_every_friend: ""친구를 추천하고 보상을 받으세요!"","
,,,onboard_done_t_explore_strategy,現在讓我們開始探索更多策略吧！,现在让我们开始探索更多策略吧！,Now let’s explore more strategies.,더 많은 전략을 탐구해 봅시다!,"onboard_done_t_explore_strategy: ""現在讓我們開始探索更多策略吧！"",","onboard_done_t_explore_strategy: ""Now let’s explore more strategies."",","onboard_done_t_explore_strategy: ""现在让我们开始探索更多策略吧！"",","onboard_done_t_explore_strategy: ""더 많은 전략을 탐구해 봅시다!"","
,,,onboard_done_b_explore,探索,探索,Explore,탐구,"onboard_done_b_explore: ""探索"",","onboard_done_b_explore: ""Explore"",","onboard_done_b_explore: ""探索"",","onboard_done_b_explore: ""탐구"","
,,,onboard_done_t_footnote,*當好友完成註冊及首筆跟投時，可獲得獎勵,*当好友完成注册及首笔跟投时，可获得奖励,*Rewards will be received after each referral completes registration and makes his first investment.,친구가 등록을 완료하고 첫 투자를 한 후에 보상을 받을 수 있습니다,"onboard_done_t_footnote: ""*當好友完成註冊及首筆跟投時，可獲得獎勵"",","onboard_done_t_footnote: ""*Rewards will be received after each referral completes registration and makes his first investment."",","onboard_done_t_footnote: ""*当好友完成注册及首笔跟投时，可获得奖励"",","onboard_done_t_footnote: ""친구가 등록을 완료하고 첫 투자를 한 후에 보상을 받을 수 있습니다"","
,,,,,,,,,,,
,,,invest_progress_t_waiting_metamask,等待 MetaMask 回應...,等待 MetaMask 回应...,Waiting for MetaMask...,MetaMask 결과를 기다리는 중...,"invest_progress_t_waiting_metamask: ""等待 MetaMask 回應..."",","invest_progress_t_waiting_metamask: ""Waiting for MetaMask..."",","invest_progress_t_waiting_metamask: ""等待 MetaMask 回应..."",","invest_progress_t_waiting_metamask: ""MetaMask 결과를 기다리는 중..."","
,,,invest_progress_t_pending_transc,交易進行中,交易进行中,Pending transaction...,거래 진행 중,"invest_progress_t_pending_transc: ""交易進行中"",","invest_progress_t_pending_transc: ""Pending transaction..."",","invest_progress_t_pending_transc: ""交易进行中"",","invest_progress_t_pending_transc: ""거래 진행 중"","
,,,invest_progress_t_cancel,交易取消,交易取消,Transation Cancelled.,거래취소,"invest_progress_t_cancel: ""交易取消"",","invest_progress_t_cancel: ""Transation Cancelled."",","invest_progress_t_cancel: ""交易取消"",","invest_progress_t_cancel: ""거래취소"","
,,,invest_progress_t_failed,交易失敗！請重試,交易失败！请重试,Transation failed. Please try again.,거래 실패! 다시 시도해 주세요!,"invest_progress_t_failed: ""交易失敗！請重試"",","invest_progress_t_failed: ""Transation failed. Please try again."",","invest_progress_t_failed: ""交易失败！请重试"",","invest_progress_t_failed: ""거래 실패! 다시 시도해 주세요!"","
,,,invest_progress_t_done_deposit,交易完成，已成功存入押金,交易完成，已成功存入押金,"Transaction completed, deposit stake succeed.",거래완료,"invest_progress_t_done_deposit: ""交易完成，已成功存入押金"",","invest_progress_t_done_deposit: ""Transaction completed, deposit stake succeed."",","invest_progress_t_done_deposit: ""交易完成，已成功存入押金"",","invest_progress_t_done_deposit: ""거래완료"","
,,,invest_progress_t_done_invest,交易完成，已成功投資,交易完成，已成功投资,"Transaction completed, investment succeed.",거래완료,"invest_progress_t_done_invest: ""交易完成，已成功投資"",","invest_progress_t_done_invest: ""Transaction completed, investment succeed."",","invest_progress_t_done_invest: ""交易完成，已成功投资"",","invest_progress_t_done_invest: ""거래완료"","
,,,,,,,,,,,
,,,strategy_category_t_more_strategy,更多策略,更多策略,More Strategies,,"strategy_category_t_more_strategy: ""更多策略"",","strategy_category_t_more_strategy: ""More Strategies"",","strategy_category_t_more_strategy: ""更多策略"",","strategy_category_t_more_strategy: """","
,,,,,,,,,,,
,,,detail_t_performance,策略績效,策略绩效,Strategy Performance,전략 성과,"detail_t_performance: ""策略績效"",","detail_t_performance: ""Strategy Performance"",","detail_t_performance: ""策略绩效"",","detail_t_performance: ""전략 성과"","
,,,detail_t_yearly_profit,年化報酬率,年化报酬率,Yearly Profit,연간 수익,"detail_t_yearly_profit: ""年化報酬率"",","detail_t_yearly_profit: ""Yearly Profit"",","detail_t_yearly_profit: ""年化报酬率"",","detail_t_yearly_profit: ""연간 수익"","
,,,detail_t_max_drawdown,最大回撤,最大回撤,Max Drawdown,맥시멈 드로다운(MDD) ,"detail_t_max_drawdown: ""最大回撤"",","detail_t_max_drawdown: ""Max Drawdown"",","detail_t_max_drawdown: ""最大回撤"",","detail_t_max_drawdown: ""맥시멈 드로다운(MDD) "","
,,,detail_t_sharpe_ratio,夏普比率,夏普比率,Sharpe Ratio,샤프지수,"detail_t_sharpe_ratio: ""夏普比率"",","detail_t_sharpe_ratio: ""Sharpe Ratio"",","detail_t_sharpe_ratio: ""夏普比率"",","detail_t_sharpe_ratio: ""샤프지수"","
,,,detail_t_backtesting,策略績效是基於回測結果,策略绩效是基于回测结果,THE PERFORMANCE IS BASED ON BACKTESTING.,전략 성과는 백테스팅에 기초합니다.,"detail_t_backtesting: ""策略績效是基於回測結果"",","detail_t_backtesting: ""THE PERFORMANCE IS BASED ON BACKTESTING."",","detail_t_backtesting: ""策略绩效是基于回测结果"",","detail_t_backtesting: ""전략 성과는 백테스팅에 기초합니다."","
,,,detail_t_strategy_desc,策略描述,策略描述,Strategy Description,전략 설명,"detail_t_strategy_desc: ""策略描述"",","detail_t_strategy_desc: ""Strategy Description"",","detail_t_strategy_desc: ""策略描述"",","detail_t_strategy_desc: ""전략 설명"","
,,,detail_t_bonus_profit_title,績效紅利,绩效红利,Bonus Profit,,"detail_t_bonus_profit_title: ""績效紅利"",","detail_t_bonus_profit_title: ""Bonus Profit"",","detail_t_bonus_profit_title: ""绩效红利"",","detail_t_bonus_profit_title: """","
,,,detail_t_bonus_profit_desc,若精選策略績效超過基礎年化報酬，將依比例與烈火用戶共享額外的績效紅利。,若精选策略绩效超过基础年化报酬，将依比例与烈火用户共享额外的绩效红利。,"When strategy performance exceeeds the standard estimated annual return, additional profit is proportionally given to Ultra Rock and Ultra Flame.",,"detail_t_bonus_profit_desc: ""若精選策略績效超過基礎年化報酬，將依比例與烈火用戶共享額外的績效紅利。"",","detail_t_bonus_profit_desc: ""When strategy performance exceeeds the standard estimated annual return, additional profit is proportionally given to Ultra Rock and Ultra Flame."",","detail_t_bonus_profit_desc: ""若精选策略绩效超过基础年化报酬，将依比例与烈火用户共享额外的绩效红利。"",","detail_t_bonus_profit_desc: """","
,,,detail_t_bonus_profit_amount,預期報酬金額,预期报酬金额,Est. Profit Amount,,"detail_t_bonus_profit_amount: ""預期報酬金額"",","detail_t_bonus_profit_amount: ""Est. Profit Amount"",","detail_t_bonus_profit_amount: ""预期报酬金额"",","detail_t_bonus_profit_amount: """","
,,,detail_t_bonus_profit_pct,預期利息,预期利息,Est. Interest,,"detail_t_bonus_profit_pct: ""預期利息"",","detail_t_bonus_profit_pct: ""Est. Interest"",","detail_t_bonus_profit_pct: ""预期利息"",","detail_t_bonus_profit_pct: """","
,,,detail_t_product_desc,商品描述,商品描述,Product Description,,"detail_t_product_desc: ""商品描述"",","detail_t_product_desc: ""Product Description"",","detail_t_product_desc: ""商品描述"",","detail_t_product_desc: """","
,,,detail_t_min_invest_amount,最低跟投金額,最低跟投金额,Min Investment Amount,최저 투자 금액,"detail_t_min_invest_amount: ""最低跟投金額"",","detail_t_min_invest_amount: ""Min Investment Amount"",","detail_t_min_invest_amount: ""最低跟投金额"",","detail_t_min_invest_amount: ""최저 투자 금액"","
,,,detail_t_contract_expire_date,訂閱結束日期,订阅结束日期,Subscription Exp. Date,구독 만료일,"detail_t_contract_expire_date: ""訂閱結束日期"",","detail_t_contract_expire_date: ""Subscription Exp. Date"",","detail_t_contract_expire_date: ""订阅结束日期"",","detail_t_contract_expire_date: ""구독 만료일"","
,,,detail_t_settlement_date,分潤日,分润日,Settlement Day,결산일,"detail_t_settlement_date: ""分潤日"",","detail_t_settlement_date: ""Settlement Day"",","detail_t_settlement_date: ""分润日"",","detail_t_settlement_date: ""결산일"","
,,,detail_t_first_day_month,每個月月初,每个月月初,First Day of Each Month,매월 첫째 날,"detail_t_first_day_month: ""每個月月初"",","detail_t_first_day_month: ""First Day of Each Month"",","detail_t_first_day_month: ""每个月月初"",","detail_t_first_day_month: ""매월 첫째 날"","
,,,detail_t_exchange,交易所,交易所,Exchange,거래소,"detail_t_exchange: ""交易所"",","detail_t_exchange: ""Exchange"",","detail_t_exchange: ""交易所"",","detail_t_exchange: ""거래소"","
,,,detail_t_symbol,交易對,交易对,Trading Pair,트레이딩 페어,"detail_t_symbol: ""交易對"",","detail_t_symbol: ""Trading Pair"",","detail_t_symbol: ""交易对"",","detail_t_symbol: ""트레이딩 페어"","
,,,detail_t_leverage,槓桿,槓杆,Leverage,레버지리,"detail_t_leverage: ""槓桿"",","detail_t_leverage: ""Leverage"",","detail_t_leverage: ""槓杆"",","detail_t_leverage: ""레버지리"","
,,,detail_t_min_stake_require,履約保證金,履约保证金,Stake Requirement,스테이크 요건 ,"detail_t_min_stake_require: ""履約保證金"",","detail_t_min_stake_require: ""Stake Requirement"",","detail_t_min_stake_require: ""履约保证金"",","detail_t_min_stake_require: ""스테이크 요건 "","
,,,detail_t_of_invest,,,of investment,투자의,"detail_t_of_invest: """",","detail_t_of_invest: ""of investment"",","detail_t_of_invest: """",","detail_t_of_invest: ""투자의"","
,,,detail_t_pricing_model,收費模式,收费模式,Pricing Model,가격 모델,"detail_t_pricing_model: ""收費模式"",","detail_t_pricing_model: ""Pricing Model"",","detail_t_pricing_model: ""收费模式"",","detail_t_pricing_model: ""가격 모델"","
,,,detail_t_profit_sharing,分潤制,分润制,Profit Sharing,수익 분배,"detail_t_profit_sharing: ""分潤制"",","detail_t_profit_sharing: ""Profit Sharing"",","detail_t_profit_sharing: ""分润制"",","detail_t_profit_sharing: ""수익 분배"","
,,,detail_t_stake_token,保證金代幣,保证金代币,Stake Token,스테이크 토큰,"detail_t_stake_token: ""保證金代幣"",","detail_t_stake_token: ""Stake Token"",","detail_t_stake_token: ""保证金代币"",","detail_t_stake_token: ""스테이크 토큰"","
,,,detail_t_profit_sharing_ratio,分潤比率,分润比率,Profit Sharing Ratio,수익 분배율,"detail_t_profit_sharing_ratio: ""分潤比率"",","detail_t_profit_sharing_ratio: ""Profit Sharing Ratio"",","detail_t_profit_sharing_ratio: ""分润比率"",","detail_t_profit_sharing_ratio: ""수익 분배율"","
,,,detail_t_contract_address,合約位址,合约位址,Contract Address,계약 주소,"detail_t_contract_address: ""合約位址"",","detail_t_contract_address: ""Contract Address"",","detail_t_contract_address: ""合约位址"",","detail_t_contract_address: ""계약 주소"","
,,,detail_t_pl,報酬,报酬,Return,손익,"detail_t_pl: ""報酬"",","detail_t_pl: ""Return"",","detail_t_pl: ""报酬"",","detail_t_pl: ""손익"","
,,,detail_t_tab_performance_charts,績效圖表,绩效图表,Performance Charts,,"detail_t_tab_performance_charts: ""績效圖表"",","detail_t_tab_performance_charts: ""Performance Charts"",","detail_t_tab_performance_charts: ""绩效图表"",","detail_t_tab_performance_charts: """","
,,,detail_t_tab_lastest_trading_records,近期交易紀錄,近期交易纪录,Lastest Trading Records,,"detail_t_tab_lastest_trading_records: ""近期交易紀錄"",","detail_t_tab_lastest_trading_records: ""Lastest Trading Records"",","detail_t_tab_lastest_trading_records: ""近期交易纪录"",","detail_t_tab_lastest_trading_records: """","
,,,detail_t_trading_record_type,形式,形式,Type,,"detail_t_trading_record_type: ""形式"",","detail_t_trading_record_type: ""Type"",","detail_t_trading_record_type: ""形式"",","detail_t_trading_record_type: """","
,,,detail_t_trading_record_price,價格,价格,Price,,"detail_t_trading_record_price: ""價格"",","detail_t_trading_record_price: ""Price"",","detail_t_trading_record_price: ""价格"",","detail_t_trading_record_price: """","
,,,detail_t_trading_record_note,為維護會員權益，此表格僅顯示三天前的最新10筆交易,为维护会员权益，此表格仅显示三天前的最新10笔交易,This table displays the 10 latest trades made 3 days ago.,,"detail_t_trading_record_note: ""為維護會員權益，此表格僅顯示三天前的最新10筆交易"",","detail_t_trading_record_note: ""This table displays the 10 latest trades made 3 days ago."",","detail_t_trading_record_note: ""为维护会员权益，此表格仅显示三天前的最新10笔交易"",","detail_t_trading_record_note: """","
,,,detail_t_invest_limit,投資限制,投资限制,Investment Limit,투자 한계,"detail_t_invest_limit: ""投資限制"",","detail_t_invest_limit: ""Investment Limit"",","detail_t_invest_limit: ""投资限制"",","detail_t_invest_limit: ""투자 한계"","
,,,detail_t_invest_info,申購資訊,申购资讯,Investment Info,,"detail_t_invest_info: ""申購資訊"",","detail_t_invest_info: ""Investment Info"",","detail_t_invest_info: ""申购资讯"",","detail_t_invest_info: """","
,,,detail_t_subscriber,訂閱者,订阅者,Subscribers,구독자,"detail_t_subscriber: ""訂閱者"",","detail_t_subscriber: ""Subscribers"",","detail_t_subscriber: ""订阅者"",","detail_t_subscriber: ""구독자"","
,,,detail_t_aum_short,總管理資產,总管理资产,AUM,운용자산,"detail_t_aum_short: ""總管理資產"",","detail_t_aum_short: ""AUM"",","detail_t_aum_short: ""总管理资产"",","detail_t_aum_short: ""운용자산"","
,,,detail_t_aum,總管理資產,总管理资产,Assets Under Management,운용자산,"detail_t_aum: ""總管理資產"",","detail_t_aum: ""Assets Under Management"",","detail_t_aum: ""总管理资产"",","detail_t_aum: ""운용자산"","
,,,detail_t_aum_full,您目前所跟投的總資產金額,您目前所跟投的总资产金额,The amount of Assets Under Management under strategies you have selected.,선택한 전략에 따라 관리 중인 자산의 양입니다.,"detail_t_aum_full: ""您目前所跟投的總資產金額"",","detail_t_aum_full: ""The amount of Assets Under Management under strategies you have selected."",","detail_t_aum_full: ""您目前所跟投的总资产金额"",","detail_t_aum_full: ""선택한 전략에 따라 관리 중인 자산의 양입니다."","
,,,detail_t_maximum,最大值,最大值,Maximum,최대치,"detail_t_maximum: ""最大值"",","detail_t_maximum: ""Maximum"",","detail_t_maximum: ""最大值"",","detail_t_maximum: ""최대치"","
,,,detail_t_current,目前,目前,Current,현재,"detail_t_current: ""目前"",","detail_t_current: ""Current"",","detail_t_current: ""目前"",","detail_t_current: ""현재"","
,,,detail_t_favorites,最愛,最爱,Favorites,즐겨찾기,"detail_t_favorites: ""最愛"",","detail_t_favorites: ""Favorites"",","detail_t_favorites: ""最爱"",","detail_t_favorites: ""즐겨찾기"","
,,,detail_t_history,歷史,历史,History,거래 내역(히스토리),"detail_t_history: ""歷史"",","detail_t_history: ""History"",","detail_t_history: ""历史"",","detail_t_history: ""거래 내역(히스토리)"","
,,,detail_t_long,多單 ,多单 ,long ,,"detail_t_long: ""多單 "",","detail_t_long: ""long "",","detail_t_long: ""多单 "",","detail_t_long: """","
,,,detail_t_short,空單 ,空单 ,short ,,"detail_t_short: ""空單 "",","detail_t_short: ""short "",","detail_t_short: ""空单 "",","detail_t_short: """","
,,,detail_t_risk_level,風險等級,风险等级,Risk Level,위험 등급,"detail_t_risk_level: ""風險等級"",","detail_t_risk_level: ""Risk Level"",","detail_t_risk_level: ""风险等级"",","detail_t_risk_level: ""위험 등급"","
,,,detail_t_add_stat,更多資訊,更多资讯,Additional Stats,더 많은 정보,"detail_t_add_stat: ""更多資訊"",","detail_t_add_stat: ""Additional Stats"",","detail_t_add_stat: ""更多资讯"",","detail_t_add_stat: ""더 많은 정보"","
,,,detail_t_trade_week,每週交易次數,每週交易次数,Ave. Trades/Week,주간 거래 횟수,"detail_t_trade_week: ""每週交易次數"",","detail_t_trade_week: ""Ave. Trades/Week"",","detail_t_trade_week: ""每週交易次数"",","detail_t_trade_week: ""주간 거래 횟수"","
,,,detail_t_fund_util_rate,最新持倉水位,最新持仓水位,Current Position Ratio,최신 포지션 비율,"detail_t_fund_util_rate: ""最新持倉水位"",","detail_t_fund_util_rate: ""Current Position Ratio"",","detail_t_fund_util_rate: ""最新持仓水位"",","detail_t_fund_util_rate: ""최신 포지션 비율"","
,,,detail_t_running_days,執行天數,执行天数,Running Days,연속 일수,"detail_t_running_days: ""執行天數"",","detail_t_running_days: ""Running Days"",","detail_t_running_days: ""执行天数"",","detail_t_running_days: ""연속 일수"","
,,,detail_t_performance_fee,績效費,绩效费,Performance Fee,성과비,"detail_t_performance_fee: ""績效費"",","detail_t_performance_fee: ""Performance Fee"",","detail_t_performance_fee: ""绩效费"",","detail_t_performance_fee: ""성과비"","
,,,detail_t_asset_empty,您的資產將會顯示在這裡。,您的资产将会显示在这裡。,Your assets will appear here.,귀하의 자산이 여기에 표시될 것입니다.,"detail_t_asset_empty: ""您的資產將會顯示在這裡。"",","detail_t_asset_empty: ""Your assets will appear here."",","detail_t_asset_empty: ""您的资产将会显示在这裡。"",","detail_t_asset_empty: ""귀하의 자산이 여기에 표시될 것입니다."","
,,,detail_t_subscribed_empty,您跟投的策略會顯示在這裡。,您跟投的策略会显示在这裡。,Your subscribed strategies will appear here.,여기에 투자된 전략이 표시됩니다. 전략 센터에 가서 전략을 선택할 수 있습니다.,"detail_t_subscribed_empty: ""您跟投的策略會顯示在這裡。"",","detail_t_subscribed_empty: ""Your subscribed strategies will appear here."",","detail_t_subscribed_empty: ""您跟投的策略会显示在这裡。"",","detail_t_subscribed_empty: ""여기에 투자된 전략이 표시됩니다. 전략 센터에 가서 전략을 선택할 수 있습니다."","
,,,detail_t_fav_empty,您標記的策略會顯示在這裡。不要錯過跟投的機會。,您标记的策略会显示在这裡。不要错过跟投的机会。,Save your favorite strategies to subscribe later.<br>But don’t miss the opportunity to invest early while there’s still capacity.,구독된 전략이 여기에 나타날 것입니다.<br>대시보드로 가서 필요에 가장 적합한 전략을 찾으십시오.,"detail_t_fav_empty: ""您標記的策略會顯示在這裡。不要錯過跟投的機會。"",","detail_t_fav_empty: ""Save your favorite strategies to subscribe later.<br>But don’t miss the opportunity to invest early while there’s still capacity."",","detail_t_fav_empty: ""您标记的策略会显示在这裡。不要错过跟投的机会。"",","detail_t_fav_empty: ""구독된 전략이 여기에 나타날 것입니다.<br>대시보드로 가서 필요에 가장 적합한 전략을 찾으십시오."","
,,,detail_t_tooltip,查看名詞註釋,查看名词注释,View term definition here,용어 정의 보기,"detail_t_tooltip: ""查看名詞註釋"",","detail_t_tooltip: ""View term definition here"",","detail_t_tooltip: ""查看名词注释"",","detail_t_tooltip: ""용어 정의 보기"","
,,,detail_t_charts,圖表,图表,Charts,,"detail_t_charts: ""圖表"",","detail_t_charts: ""Charts"",","detail_t_charts: ""图表"",","detail_t_charts: """","
,,,detail_t_the_team,團隊,团队,The Team,,"detail_t_the_team: ""團隊"",","detail_t_the_team: ""The Team"",","detail_t_the_team: ""团队"",","detail_t_the_team: """","
,,,detail_t_annual_pl,預期年化報酬,預期年化报酬,EST. Annual Return,예상 연간 이익률,"detail_t_annual_pl: ""預期年化報酬"",","detail_t_annual_pl: ""EST. Annual Return"",","detail_t_annual_pl: ""預期年化报酬"",","detail_t_annual_pl: ""예상 연간 이익률"","
,,,detail_t_past_year_pl,近一年報酬,近一年报酬,Return in the Past Year,,"detail_t_past_year_pl: ""近一年報酬"",","detail_t_past_year_pl: ""Return in the Past Year"",","detail_t_past_year_pl: ""近一年报酬"",","detail_t_past_year_pl: """","
,,,detail_t_currency_base,以上績效以 %s 為基礎計算,以上绩效以 %s 为基础计算,The above returns are %s based.,,"detail_t_currency_base: ""以上績效以 %s 為基礎計算"",","detail_t_currency_base: ""The above returns are %s based."",","detail_t_currency_base: ""以上绩效以 %s 为基础计算"",","detail_t_currency_base: """","
,,,detail_t_currency_base_one,(以,(以,(,(,"detail_t_currency_base_one: ""(以"",","detail_t_currency_base_one: ""("",","detail_t_currency_base_one: ""(以"",","detail_t_currency_base_one: ""("","
,,,detail_t_currency_base_two,為基礎),为基础),Based),기반),"detail_t_currency_base_two: ""為基礎)"",","detail_t_currency_base_two: ""Based)"",","detail_t_currency_base_two: ""为基础)"",","detail_t_currency_base_two: ""기반)"","
,,,detail_t_back_testing,資料為實單及回測模擬結果，模擬期間：2年,资料为实单及回测模拟结果，模拟期间：2年,This is backtesting data within 2 years.,,"detail_t_back_testing: ""資料為實單及回測模擬結果，模擬期間：2年"",","detail_t_back_testing: ""This is backtesting data within 2 years."",","detail_t_back_testing: ""资料为实单及回测模拟结果，模拟期间：2年"",","detail_t_back_testing: """","
,,,detail_t_performance_testing,此策略之績效數據為近 2 年回測數據,此策略之绩效数据为近 2 年回测数据,Performance is based on backtesting data within the past 2 years.,,"detail_t_performance_testing: ""此策略之績效數據為近 2 年回測數據"",","detail_t_performance_testing: ""Performance is based on backtesting data within the past 2 years."",","detail_t_performance_testing: ""此策略之绩效数据为近 2 年回测数据"",","detail_t_performance_testing: """","
,,,detail_b_get_started,開始,开始,Let's Get Started,시작하기,"detail_b_get_started: ""開始"",","detail_b_get_started: ""Let\'s Get Started"",","detail_b_get_started: ""开始"",","detail_b_get_started: ""시작하기"","
,,,detail_b_subscribe,跟投,跟投,Subscribe,동의,"detail_b_subscribe: ""跟投"",","detail_b_subscribe: ""Subscribe"",","detail_b_subscribe: ""跟投"",","detail_b_subscribe: ""동의"","
,,,detail_b_subscribed,已跟投,已跟投,Subscribed,이미 동의함,"detail_b_subscribed: ""已跟投"",","detail_b_subscribed: ""Subscribed"",","detail_b_subscribed: ""已跟投"",","detail_b_subscribed: ""이미 동의함"","
,,,detail_b_subscribe_lending,訂閱,订阅,Subscribe,,"detail_b_subscribe_lending: ""訂閱"",","detail_b_subscribe_lending: ""Subscribe"",","detail_b_subscribe_lending: ""订阅"",","detail_b_subscribe_lending: """","
,,,detail_b_subscribed_lending,已訂閱,已订阅,Subscribed,,"detail_b_subscribed_lending: ""已訂閱"",","detail_b_subscribed_lending: ""Subscribed"",","detail_b_subscribed_lending: ""已订阅"",","detail_b_subscribed_lending: """","
,,,detail_t_fav_added,已加入至我的最愛,已加入至我的最爱,Added to favorites.,즐겨찾기에 추가되었습니다.,"detail_t_fav_added: ""已加入至我的最愛"",","detail_t_fav_added: ""Added to favorites."",","detail_t_fav_added: ""已加入至我的最爱"",","detail_t_fav_added: ""즐겨찾기에 추가되었습니다."","
,,,detail_t_fav_to_add,加入此策略至我的最愛,加入此策略至我的最爱,Add to my favorites.,내 즐겨찾기에 추가합니다,"detail_t_fav_to_add: ""加入此策略至我的最愛"",","detail_t_fav_to_add: ""Add to my favorites."",","detail_t_fav_to_add: ""加入此策略至我的最爱"",","detail_t_fav_to_add: ""내 즐겨찾기에 추가합니다"","
,,,detail_t_fav_to_removed,已從我的最爱移除,已从我的最爱移除,Removed from my favorites.,내 즐겨찾기에서 삭제되었습니다.,"detail_t_fav_to_removed: ""已從我的最爱移除"",","detail_t_fav_to_removed: ""Removed from my favorites."",","detail_t_fav_to_removed: ""已从我的最爱移除"",","detail_t_fav_to_removed: ""내 즐겨찾기에서 삭제되었습니다."","
,,,detail_t_or,或,或,or,,"detail_t_or: ""或"",","detail_t_or: ""or"",","detail_t_or: ""或"",","detail_t_or: """","
,,,detail_t_promote_performance_fee,績效費,绩效费,perf. fee,,"detail_t_promote_performance_fee: ""績效費"",","detail_t_promote_performance_fee: ""perf. fee"",","detail_t_promote_performance_fee: ""绩效费"",","detail_t_promote_performance_fee: """","
,,,detail_t_promote_performance_fee_off,OFF,OFF,OFF,,"detail_t_promote_performance_fee_off: ""OFF"",","detail_t_promote_performance_fee_off: ""OFF"",","detail_t_promote_performance_fee_off: ""OFF"",","detail_t_promote_performance_fee_off: """","
,,,detail_t_promote_performance_fee_period,%s 期間跟投,%s 期间跟投,subscribe between %s ,,"detail_t_promote_performance_fee_period: ""%s 期間跟投"",","detail_t_promote_performance_fee_period: ""subscribe between %s "",","detail_t_promote_performance_fee_period: ""%s 期间跟投"",","detail_t_promote_performance_fee_period: """","
,,,detail_t_itd_return,起始至今報酬,起始至今报酬,ITD Return,,"detail_t_itd_return: ""起始至今報酬"",","detail_t_itd_return: ""ITD Return"",","detail_t_itd_return: ""起始至今报酬"",","detail_t_itd_return: """","
,,,,,,,,,,,
,,,detail_action_t_invested,已跟投,已跟投,Invested,인베스팅 완료,"detail_action_t_invested: ""已跟投"",","detail_action_t_invested: ""Invested"",","detail_action_t_invested: ""已跟投"",","detail_action_t_invested: ""인베스팅 완료"","
,,,detail_action_t_start_invest,開始跟投,开始跟投,Start Investing,인베스팅 시작,"detail_action_t_start_invest: ""開始跟投"",","detail_action_t_start_invest: ""Start Investing"",","detail_action_t_start_invest: ""开始跟投"",","detail_action_t_start_invest: ""인베스팅 시작"","
